Runtimes (s)
1: 0.446033125
11: 0.670957542
21: 0.6957829159999998
31: 0.6767775409999999
41: 0.522950958
51: 0.5604587919999999
61: 0.6917015000000002
71: 0.577685625
81: 0.4823081250000003
91: 0.5166101249999997
101: 0.7425717909999996
111: 0.5631006249999997
121: 0.6318182499999994
131: 0.6760749999999991
141: 0.2417610830000001
151: 0.4236484160000007
161: 0.5019779999999994
171: 0.3510652909999994
181: 0.6829269579999995
191: 0.4684550839999986
201: 0.44219616600000045
211: 0.5195391669999996
221: 0.8145255420000002
231: 0.41857845799999893
241: 0.5396153750000003
251: 0.5320031659999991
261: 0.5230487089999993
271: 0.44418670800000015
281: 0.34882204199999833
291: 0.7229749170000019
301: 0.4354619160000013
311: 0.5437102500000002
321: 0.3419773329999991
331: 0.6672429169999994
341: 0.47051000000000087
351: 0.4460487079999993
361: 0.5949356670000014
371: 0.4220185000000001
381: 0.4728009170000007
391: 0.48947779199999886
401: 0.5708999169999984
411: 0.4408849590000017
421: 0.4710976250000023
431: 0.6562589999999986
441: 0.6165970000000023
451: 0.6872369169999999
461: 0.657271583
471: 0.2796354170000015
481: 0.480728040999999
491: 0.4332656249999971
501: 0.6165546669999991
511: 0.548555167
521: 0.4501509590000019
531: 0.4930261250000001
541: 0.5184150830000007
551: 0.6047688750000013
561: 0.4607253749999991
571: 0.5185070419999995
581: 0.5495987500000012
591: 0.5572888329999977
601: 0.4778260830000036
611: 0.5954905000000039
621: 0.40654308399999906
631: 0.6062506669999976
641: 0.4506459170000028
651: 0.39434308399999907
661: 0.58476675
671: 0.2343295830000045
681: 0.5483197499999974
691: 0.4056027920000034
701: 0.6200189589999994
711: 0.4214327090000012
721: 0.4602252080000042
731: 0.5720243339999982
741: 0.46404908299999903
751: 0.39378770800000495
761: 0.6074484580000004
771: 0.7537462080000026
781: 0.37653249999999616
791: 0.6173637500000027
801: 0.5271461660000014
811: 0.45576929100000285
821: 0.5776058749999962
831: 0.5545112500000045
841: 0.4328908339999984
851: 0.3764828340000008
861: 0.5207383340000007
871: 0.3671230420000029
881: 0.5002081250000003
891: 0.7267555419999994
901: 0.5356963750000006
911: 0.6098128330000065
921: 0.5238597499999997
931: 0.633409958999998
941: 0.39809066600000165
951: 0.5992320000000007
961: 0.49577825000000075
971: 0.6547695829999967
981: 0.5038496670000043
991: 0.5830812919999957
1001: 0.464426459000002
1011: 0.4887805830000005
1021: 0.5447340420000018
1031: 0.3865137909999987
1041: 0.5142646670000062
1051: 0.6284611669999975
1061: 0.497859499999997
1071: 0.43334945899999866
